Name_A2;1990;1995;2000;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;2055;2060;2065;2070;2075;2080;2085;2090;2095;2100
Uruguay;3091646;3237640;3406784;3570374;3733385;3906226;4104357;4321925;4554897;4804651;5058692;5318876;5586117;5902864;6222608;6542256;6866220;7193892;7520849;7846991;8177408;8510178;8846582
Venezuela;19414427;21931424;24647111;27390536;30255169;33232743;36287097;39414925;42693925;46115939;49553500;52989891;56448126;59572358;62760831;65974634;69210081;72456101;75697618;78924768;82184866;85462582;88771741
Canada;27655149;28878384;30216706;31534212;32712771;33864818;35019931;36161564;37241381;38221918;39077774;39885772;40740595;42101296;43615481;45286980;47102226;49047604;51130242;53356539;55713936;58212213;60871398
Guam;133693;142294;152579;170073;188247;207518;226620;244138;260821;278253;296082;314044;332039;344347;357755;372251;387919;404776;422911;442462;463126;485028;508286
Puerto Rico;3521975;3656848;3846334;4044622;4221481;4385083;4532049;4668147;4795369;4914861;5020513;5111090;5193491;5375531;5577745;5797227;6032472;6284269;6554419;6844312;7151691;7477630;7823799
United States of America;254355851;263945475;278133381;292154092;305805502;319822980;334197611;348577770;362694378;376382767;389531910;402733450;416538273;431037549;446946350;464396219;483326573;503662147;525500237;548915908;573664891;599872122;627738503
Angola;9790909;11625447;13763962;16149233;18925946;22189160;25719077;29525971;33526955;37598614;41943872;46348646;50679405;52582074;54090324;55193678;55872675;56083722;55814307;55046913;54178207;53150465;51960838
Benin;4762427;5627199;6559097;7707362;8928664;10192478;11478831;12743120;13936925;15003478;15993684;16837811;17624224;18446104;19146031;19717022;20143010;20404469;20496980;20412258;20249268;19995029;19658995
Botswana;1268269;1454934;1606653;1681078;1748476;1828591;1909512;1968303;2006403;2033906;2063113;2090362;2116053;2226297;2322750;2404203;2468629;2513300;2537298;2539703;2531781;2512202;2481436
Burkina Faso;9215786;10515766;12078676;14223067;16774612;19737181;22939182;26364746;29901496;33416481;37049171;40539864;43719440;45496457;46946414;48058412;48806965;49150173;49073828;48562528;47922526;47119145;46160005
Burundi;5766244;6228338;6644753;7799301;9207952;10460611;11706845;12908158;14091101;15284546;16582974;17851715;18978552;19758174;20397232;20890003;21225822;21388280;21370835;21160770;20886430;20538721;20125138
Cameroon;11882750;13594591;15540842;17622388;19717530;21757041;23697891;25475792;27021865;28209826;29348574;30542041;31703587;33314607;34719081;35898890;36825956;37464841;37796513;37802320;37655841;37331562;36830570
