YY	MM	DD	HH	"1"	"2"
routed discharge [mm per subbasi] routing_model
2001	10	21	24	0.63961	0.82050
2001	10	22	24	0.63868	0.84737
2001	10	23	24	0.65331	0.90013
2001	10	24	24	0.65505	0.87568
2001	10	25	24	0.64758	0.87215
2001	10	26	24	0.63593	0.84343
2001	10	27	24	0.62255	0.81430
2001	10	28	24	0.65597	0.78812
2001	10	29	24	0.64789	0.79025
2001	10	30	24	0.63050	0.76440
2001	10	31	24	0.61164	0.73966
2001	11	 1	24	0.64952	0.71727
2001	11	 2	24	0.66216	0.75346
2001	11	 3	24	0.64537	0.74028
2001	11	 4	24	0.62016	0.71902
2001	11	 5	24	0.59646	0.69709
2001	11	 6	24	0.58891	0.67903
2001	11	 7	24	1.03851	0.72978
2001	11	 8	24	3.22948	1.67842
2001	11	 9	24	2.65893	1.88517
2001	11	10	24	2.19593	1.77195
2001	11	11	24	1.82661	1.61151
2001	11	12	24	1.84184	1.61086
2001	11	13	24	1.60925	1.50770
2001	11	14	24	1.39958	1.38965
2001	11	15	24	1.25207	1.29179
2001	11	16	24	1.11982	1.21109
2001	11	17	24	1.01569	1.13925
2001	11	18	24	0.93902	1.07591
2001	11	19	24	1.17032	1.07298
2001	11	20	24	1.10285	1.13358
2001	11	21	24	1.03886	1.10317
2001	11	22	24	2.79976	1.98645
2001	11	23	24	2.48729	2.13273
2001	11	24	24	2.10014	1.90157
2001	11	25	24	1.83874	1.69694
2001	11	26	24	2.42738	2.13316
2001	11	27	24	2.46029	2.31574
2001	11	28	24	2.52315	2.11195
2001	11	29	24	2.94253	2.07488
2001	11	30	24	2.47696	1.94651
2001	12	 1	24	2.07965	1.75303
2001	12	 2	24	1.77455	1.59279
2001	12	 3	24	1.54330	1.47546
2001	12	 4	24	1.42687	1.36975
2001	12	 5	24	4.19553	2.73553
2001	12	 6	24	6.28138	4.64996
2001	12	 7	24	5.26535	4.49348
2001	12	 8	24	4.29044	3.92270
2001	12	 9	24	3.54271	3.48269
2001	12	10	24	3.10345	3.08243
2001	12	11	24	2.89653	2.74278
2001	12	12	24	2.95813	2.45258
2001	12	13	24	2.52010	2.20910
2001	12	14	24	2.16504	2.00724
2001	12	15	24	1.88640	1.83837
2001	12	16	24	1.66135	1.69114
2001	12	17	24	1.48072	1.56607
2001	12	18	24	1.33492	1.45927
2001	12	19	24	1.60438	1.36628
2001	12	20	24	1.43634	1.28234
2001	12	21	24	1.34212	1.20631
2001	12	22	24	1.32916	1.13858
2001	12	23	24	1.19930	1.07845
2001	12	24	24	1.11275	1.02481
2001	12	25	24	1.52935	0.97669
2001	12	26	24	1.57012	0.93329
2001	12	27	24	1.73396	0.89403
2001	12	28	24	2.51302	0.85834
2001	12	29	24	2.55047	0.82571
2001	12	30	24	2.24536	0.79574
2001	12	31	24	1.90619	0.76807
2002	 1	 1	24	1.63828	0.74243
2002	 1	 2	24	1.46099	0.71858
2002	 1	 3	24	1.29743	0.69630
2002	 1	 4	24	1.22679	0.67545
2002	 1	 5	24	1.27421	0.65591
2002	 1	 6	24	1.48097	0.63753
2002	 1	 7	24	1.46615	0.62018
2002	 1	 8	24	1.37852	0.60367
2002	 1	 9	24	1.54687	0.58794
2002	 1	10	24	1.68696	0.58068
2002	 1	11	24	1.79604	0.59818
2002	 1	12	24	1.98675	0.59532
2002	 1	13	24	1.90722	0.58238
2002	 1	14	24	1.96987	0.56801
2002	 1	15	24	1.70437	0.55560
2002	 1	16	24	1.50849	0.54217
2002	 1	17	24	1.40151	0.52929
2002	 1	18	24	1.34148	0.51700
2002	 1	19	24	1.76623	0.50525
2002	 1	20	24	2.81261	0.49420
2002	 1	21	24	3.61196	0.53363
2002	 1	22	24	4.06711	0.78986
2002	 1	23	24	4.37507	1.01732
2002	 1	24	24	5.11387	1.62461
2002	 1	25	24	5.04745	1.92097
2002	 1	26	24	5.76598	2.37748
2002	 1	27	24	8.49175	4.39066
2002	 1	28	24	10.14483	6.50894
2002	 1	29	24	10.21745	7.59636
2002	 1	30	24	9.83494	8.32021
